State,Number of National Forests
Alabama,4
Alaska,2
Arizona,6
Arkansas,2
California,18
Colorado,11
Connecticut,0
Delaware,0
Florida,3
Georgia,1
Hawaii,0
Idaho,9
Illinois,1
Indiana,1
Iowa,0
Kansas,0
Kentucky,3
Louisiana,1
Maine,1
Maryland,0
Massachusetts,0
Michigan,3
Minnesota,2
Mississippi,6
Missouri,1
Montana,9
Nebraska,2
Nevada,1
New Hampshire,1
New Jersey,0
New Mexico,5
New York,1
North Carolina,5
North Dakota,0
Ohio,1
Oklahoma,1
Oregon,13
Pennsylvania,1
Puerto Rico,1
Rhode Island,0
South Carolina,1
South Dakota,1
Tennessee,1
Texas,4
Utah,4
Vermont,1
Virgin Islands,0
Virginia,1
Washington,5
Washington DC,0
West Virginia,2
Wisconsin,1
Wyoming,8
